Brand,Current_Price,Discount,Original_Price,Product_Name
Gucci,327.25,15%,385.0,GG0004ON
Ray-Ban,210.0,,,RB3857V Frank
Kate Spade,175.0,,,RAYA
Oakley,242.0,,,Exchange
Dolce & Gabbana,377.0,,,DG3334
Versace,141.5,50%,283.0,VE3313
Dolce & Gabbana,171.5,50%,343.0,DG5105U
Oakley Youth,123.0,,,Round Off
Versace,316.0,,,VE3374U
Gucci,365.5,15%,430.0,GG1682O
Gucci,437.75,15%,515.0,GG1669O
Gucci,416.5,15%,490.0,GG1265O
Ray-Ban,198.0,,,RB5421F
Ray-Ban,222.0,,,RB5285
Oakley Youth,123.0,,,Cartwheel
Versace,286.0,,,VE3375
Kate Spade,205.0,,,Chantelle
Ray-Ban,210.0,,,RB2241V
Kate Spade,225.0,,,GAIA
Ray-Ban,210.0,,,RB6335
Ray-Ban,147.0,30%,210.0,RB7214F
Kate Spade,245.0,,,Adrie
Ray-Ban,94.0,50%,188.0,RB3957V - Julie
Burberry,216.3,30%,309.0,BE2386F
Guess,119.0,50%,238.0,GU2879
Ray-Ban,118.5,50%,237.0,RB7231M - Scuderia Ferrari Collection
Ray-Ban,222.0,,,RB3636V - New Caravan Optics
Burberry,327.0,,,BE2352F
Gucci,416.5,15%,490.0,GG1586O
Ray-Ban,222.0,,,RB3625V - New Aviator Optics
Ray-Ban,222.0,,,RB5375
Gucci,395.25,15%,465.0,GG0343O
Versace,155.0,50%,310.0,VE3288
Oakley,255.0,,,Pitchman (Low Bridge Fit)
Gucci,378.25,15%,445.0,GG1445O
Dolce & Gabbana,306.0,,,DG3363
Ray-Ban,222.0,,,RB0840V
Gucci,425.0,15%,500.0,GG0184O
Versace,300.0,,,VE3363U
Dolce & Gabbana,259.7,30%,371.0,DG3376B
Gucci,395.25,15%,465.0,GG0278O
Burberry,327.0,,,BE2416F
Burberry,327.0,,,BE1355
Dolce & Gabbana,137.0,50%,274.0,DG5071
Burberry,327.0,,,BE2417
Oakley,168.7,30%,241.0,Pitchman R
Ray-Ban,155.4,30%,222.0,RB7229
Dolce & Gabbana,364.0,,,DG3383
Ray-Ban,198.0,,,RB6472
Gucci,425.0,15%,500.0,GG1044O
Persol,393.0,,,PO3334V
Kate Spade,161.0,30%,230.0,Lucyann
Oakley,242.0,,,Marshal MNP (TruBridge)
Burberry,154.5,50%,309.0,BE1370D
Burberry,137.5,50%,275.0,BE1337
Kate Spade,240.0,,,Tianna
Guess,113.5,50%,227.0,GU50055-D
Ray-Ban,210.0,,,RB5397 - Elliot Optics
Ray-Ban Junior,122.0,,,RY1535
Gucci,314.5,15%,370.0,GG0093O
Guess,115.0,50%,230.0,GU5222
Kate Spade,245.0,,,Jabria
Versace,346.0,,,VE3340U
Burberry,338.1,30%,483.0,BE2408U
Burberry,139.5,50%,279.0,BE2389
Ray-Ban,87.0,,,RB1644
Versace,376.0,,,VE3347
Ray-Ban,189.0,,,RB2210V
Ray-Ban,186.0,,,RB5446
Persol,422.0,,,PO9714VM - Folding
